category_code,normalized_name,logo_width,logo_height,country_code,city,investment_rounds,invested_companies,milestones,relationships,funding_total_usd,acquired_at,logo_ratio,name_length
web,about,182,54,USA,NA,0,0,2,45,0,2012-08-27,3.3703703703703702,5
semiconductor,phyworks,121,74,GBR,Bristol,0,0,1,6,0,2010-09-08,1.635135135135135,8
biotech,sirtris pharmaceuticals,230,100,USA,Cambridge,0,0,1,10,82000000,2008-04-22,2.3,23
web,sabre,141,60,USA,Southlake,1,1,0,20,0,2006-12-01,2.35,5
web,lastminute,353,71,GBR,London,0,0,4,17,0,2005-07-01,4.971830985915493,10
software,iarchives,138,42,USA,Lindon,0,0,0,0,0,2010-09-23,3.2857142857142856,9
games_video,brickbox digital media,216,60,GBR,London,0,0,0,0,0,2010-09-24,3.6,22
web,digitas,191,36,USA,Boston,0,0,1,50,0,2006-12-20,5.305555555555555,7
games_video,webshots,147,45,USA,Corte Madera,0,0,4,10,0,2004-07-14,3.2666666666666666,8
games_video,webshots,147,45,USA,Corte Madera,0,0,4,10,0,NA,3.2666666666666666,8
games_video,webshots,147,45,USA,Corte Madera,0,0,4,10,0,2002-01-01,3.2666666666666666,8
games_video,webshots,147,45,USA,Corte Madera,0,0,4,10,0,NA,3.2666666666666666,8
finance,jambool,255,225,USA,San Francisco,0,0,2,9,6000000,2010-08-09,1.1333333333333333,7
games_video,hive7,146,77,USA,Palo Alto,0,0,2,4,0,2010-07-12,1.896103896103896,5
ecommerce,jump on it,349,84,AUS,NA,0,0,0,0,5000000,2012-03-01,4.154761904761905,10
network_hosting,hellosoft,221,82,USA,San Jos̩,0,0,0,3,0,2010-11-17,2.6951219512195124,9
software,skype,315,139,LUX,Luxembourg City,3,3,6,94,76805032,2005-09-12,2.2661870503597124,5
web,ziplist,223,70,USA,Sterling,0,0,2,9,4500000,2012-04-11,3.1857142857142855,7
web,getty images,157,39,GBR,London,1,1,2,24,0,2012-08-15,4.0256410256410255,12
